From,To,Distance
"Aaiun, Western Sahara","Arrecife De Lanzarote, Canary Islands",111
"Aaiun, Western Sahara","Bishop Rock, England",1397
"Aaiun, Western Sahara","Cape Of Good Hope, South Africa",4436
"Aaiun, Western Sahara","Casablanca, Morocco",506
"Aaiun, Western Sahara","Dakar, Senegal",793
"Aaiun, Western Sahara","Fastnet Rock, Ireland",1465
"Aaiun, Western Sahara",Grand Banks South,2003
"Aaiun, Western Sahara","Ile D’Ouessant, France",1356
"Aaiun, Western Sahara","Inishtrahull, Ireland",1753
"Aaiun, Western Sahara","Monrovia, Liberia",1525
"Aaiun, Western Sahara","New York, New York, United States",3065
"Aaiun, Western Sahara","Panama, Panama",3894
"Aaiun, Western Sahara","Pentland Firth, Scotland",2006
"Aaiun, Western Sahara","Porto Grande, Cape Verde Islands",887
"Aaiun, Western Sahara","Punta Arenas, Chile",5684
"Aaiun, Western Sahara",Strait Of Gibraltar,667
"Aaiun, Western Sahara","Straits Of Florida, United States",3712
"Aalborg, Denmark","Gdynia, Poland",410
"Aalborg, Denmark","Kobenhavn, Denmark",143
"Aalborg, Denmark","Lubeck, Germany",244
"Aalborg, Denmark","Nord-Ostsee-Kanal, Germany",207
"Aalborg, Denmark","Skagens Odde, Denmark",87
"Aarhus, Denmark","Abenra, Denmark",103
"Aarhus, Denmark","Brevik, Norway",211
"Aarhus, Denmark","Drammen Harbor, Norway",250
"Aarhus, Denmark","Kobenhavn, Denmark",108
"Aarhus, Denmark","Nord-Ostsee-Kanal, Germany",131
"Aarhus, Denmark","Oslo, Norway",255
"Aarhus, Denmark","Skagens Odde, Denmark",127
"Aarhus, Denmark","Skredsvik, Sweden",194
"Aarhus, Denmark","Slagen, Norway",222
"Aarhus, Denmark","Stenungsund, Sweden",163
"Aarhus, Denmark","Szczecin, Poland",268
"Aasiaat, Greenland","Churchill, Canada",1485
"Aasiaat, Greenland","Pentland Firth, Scotland",1925
"Aasiaat, Greenland","Reykjavik, Iceland",1371
"Aasiaat, Greenland","St. John’S, Canada",1294
"Aasiaat, Greenland",Strait Of Gibraltar,2772
"Abadan, Iran","Bombay, India",1357
"Abadan, Iran","Lavan Island, Iran",349
"Abadan, Iran","Yanbu Al Bahr, Saudi Arabia",2783
"Abadan, Iraq","Aden, Yemen",1937
"Abadan, Iraq","Mina Al Ahmadi, Kuwait",110
"Abenra, Denmark","Aarhus, Denmark",114
"Abenra, Denmark","Helsinki, Finland",666
"Abenra, Denmark","Kobenhavn, Denmark",196
"Abenra, Denmark","Lubeck, Germany",138
"Abenra, Denmark","Lulea, Sweden",914
"Abenra, Denmark","Nord-Ostsee-Kanal, Germany",207
"Abenra, Denmark","Riga, Latvia",588
"Abenra, Denmark","Sankt-Peterburg, Russia",811
"Abenra, Denmark","Skagens Odde, Denmark",87
"Abenra, Denmark","Skredsvik, Sweden",266
"Abenra, Denmark","Stenungsund, Sweden",245
"Abenra, Denmark","Tallinn, Estonia",646
"Abenra, Denmark","Umea, Sweden",792
"Aberdeen, England","Narvik, Norway",869
"Aberdeen, Scotland","Amsterdam, Netherlands",376
"Aberdeen, Scotland","Antwerp, Belgium",465
"Aberdeen, Scotland","Bee Ness, England",398
"Aberdeen, Scotland","Bergen, Norway",309
"Aberdeen, Scotland","Bodo, Norway",767
"Aberdeen, Scotland","Bremerhaven, Germany",435
"Aberdeen, Scotland","Dunkerque, France",418
"Aberdeen, Scotland","Egersund, Norway",277
"Aberdeen, Scotland","Emden, Germany",401
"Aberdeen, Scotland","Esbjerg, Denmark",380
"Aberdeen, Scotland","Hamburg, Germany",481
"Aberdeen, Scotland","Hammerfest, Norway",1073
"Aberdeen, Scotland","Hornmelvik, Norway",586
"Aberdeen, Scotland","Husnes, Norway",540
"Aberdeen, Scotland","Ile D’Ouessant, France",715
"Aberdeen, Scotland","Klaksvig, Faroe Islands",359
"Aberdeen, Scotland","Kristiansand, Norway",340
"Aberdeen, Scotland","Kristiansund, Norway",498
"Aberdeen, Scotland","Le Havre, France",530
"Aberdeen, Scotland","London, England",431
"Aberdeen, Scotland","Lowestoft, England",320
"Aberdeen, Scotland","Murmansk, Russia",1363
"Aberdeen, Scotland",Nord-Ostsee-Kanal,406
"Aberdeen, Scotland","Oostende, Belgium",415
"Aberdeen, Scotland","Oslo, Norway",490
"Aberdeen, Scotland","Pentland Firth, Scotland",106
"Aberdeen, Scotland","Plymouth, England",642
"Aberdeen, Scotland","Poole, England",549
"Aberdeen, Scotland","Portland, England",564
"Aberdeen, Scotland","Portsmouth, England",514
"Aberdeen, Scotland","Rotterdam, Netherlands",391
"Aberdeen, Scotland","Skagens Odde, Denmark",416
"Aberdeen, Scotland","Slagen, Norway",450
"Aberdeen, Scotland","Sorvagur, Faroe Islands",364
"Aberdeen, Scotland","Southampton, England",532
"Aberdeen, Scotland","Stadersand, Germany",464
"Aberdeen, Scotland","Stavanger, Norway",278
"Aberdeen, Scotland","Sunndalsora, Norway",484
"Aberdeen, Scotland","Torshavn, Faroe Islands",345
"Aberdeen, Scotland","Trangisvaag, Faroe Islands",331
"Aberdeen, Scotland","Tyne River, England",134
"Aberdeen, Scotland","Wilhelmshaven, Germany",423
"Aberdeen, Scotland","Yarmouth, England",311
"Aberdeen, Scotland","Zeebrugge, Belgium",420
"Abidjan, Ivory Coast","Agadir, Morocco",2258
"Abidjan, Ivory Coast","Apapa, Nigeria",490
"Abidjan, Ivory Coast","Banana, Congo",1194
"Abidjan, Ivory Coast","Bishop Rock, England",3417
"Abidjan, Ivory Coast","Boma, Congo",1187
"Abidjan, Ivory Coast","Bordeaux, France",3376
"Abidjan, Ivory Coast","Brass River, Nigeria",632
"Abidjan, Ivory Coast","Burutu, Nigeria",565
"Abidjan, Ivory Coast","Cape Lopez, Gabon",841
"Abidjan, Ivory Coast","Cape Of Good Hope, South Africa",2712
"Abidjan, Ivory Coast","Cape Town, South Africa",2679
"Abidjan, Ivory Coast","Dakar, Senegal",1166
"Abidjan, Ivory Coast","Escravos, Nigeria",550
"Abidjan, Ivory Coast","Fastnet Rock, Ireland",3472
"Abidjan, Ivory Coast","Forcados Offshore Terminal, Nigeria",566
"Abidjan, Ivory Coast","Freetown, Sierra Leone",718
"Abidjan, Ivory Coast",Grand Banks South,3539
"Abidjan, Ivory Coast","Ile D’Ouessant, France",3375
"Abidjan, Ivory Coast","Inishtrahull, Ireland",3755
"Abidjan, Ivory Coast","Kamsar, Guinea",803
"Abidjan, Ivory Coast","Kole, Cameroon",761
"Abidjan, Ivory Coast","Kpeme, Togo",405
"Abidjan, Ivory Coast","Lagos, Nigeria",457
"Abidjan, Ivory Coast","Luanda, Angola",1345
"Abidjan, Ivory Coast","Panama, Panama",4597
"Abidjan, Ivory Coast","Pennington Terminal, Nigeria",585
"Abidjan, Ivory Coast","Pentland Firth, Scotland",4048
"Abidjan, Ivory Coast","Pepel, Sierra Leone",732
"Abidjan, Ivory Coast","Port Kamsar, Guinea",834
"Abidjan, Ivory Coast","Punta Arenas, Chile",4910
"Abidjan, Ivory Coast","Qua Iboe, Nigeria",725
"Abidjan, Ivory Coast","Quinfuguena, Angola",1197
"Abidjan, Ivory Coast","San Pedro, Ivory Coast",157
"Abidjan, Ivory Coast","Sao Sebastiao, Brazil",3015
"Abidjan, Ivory Coast",Strait Of Gibraltar,2658
"Abidjan, Ivory Coast","Straits Of Florida, United States",4756
"Abidjan, Ivory Coast","Walvisbaii, Namibia",2009
"Abidjan, Ivory Coast",Yucatan Channel,4895
"Abraham Bay, Bahamas","Mayaquez, Puerto Rico",411
"Abraham Bay, Bahamas","New York, New York, United States",1115
"Abraham Bay, Bahamas","Nuevitas, Cuba",243
"Abraham Bay, Bahamas","Panama, Panama",922
"Abraham Bay, Bahamas","San Juan, Puerto Rico",476
"Abraham Bay, Bahamas","Straits Of Florida, United States",593
"Abraham Bay, Mayaguana Island, Bahamas","Cape Of Good Hope, South Africa",6237
"Abraham Bay, Mayaguana Island, Bahamas",Grand Banks South,1675
"Abraham Bay, Mayaguana Island, Bahamas","New York, New York, United States",1115
"Abraham Bay, Mayaguana Island, Bahamas","Nuevitas, Cuba",243
"Abraham Bay, Mayaguana Island, Bahamas","Panama, Panama",922
"Abraham Bay, Mayaguana Island, Bahamas","Punta Arenas, Chile",6410
"Abraham Bay, Mayaguana Island, Bahamas","San Juan, Puerto Rico",476
"Abraham Bay, Mayaguana Island, Bahamas",Strait Of Gibraltar,3552
"Abraham Bay, Mayaguana Island, Bahamas","Straits Of Florida, United States",593
"Abu Dhabi, United Arab Emirates","Aden, Yemen",1593
"Abu Dhabi, United Arab Emirates","Belawan, Indonesia",3188
"Abu Dhabi, United Arab Emirates","Bombay, India",1187
"Abu Dhabi, United Arab Emirates","Calcutta, India",3175
"Abu Dhabi, United Arab Emirates","Cape Leeuwin, Australia",5115
"Abu Dhabi, United Arab Emirates","Cape Of Good Hope, South Africa",4812
"Abu Dhabi, United Arab Emirates","Colombo, Sri Lanka",1954
"Abu Dhabi, United Arab Emirates","Darwin, Australia",5219
"Abu Dhabi, United Arab Emirates","Fremantle, Australia",5045
"Abu Dhabi, United Arab Emirates","Penang, Malaysia",3221
"Abu Dhabi, United Arab Emirates","Port Said, Egypt",2944
"Abu Dhabi, United Arab Emirates","Rangoon, Burma",3171
"Abu Dhabi, United Arab Emirates","Selat Lombok, Indonesia",4341
"Abu Dhabi, United Arab Emirates","Selat Sunda, Indonesia",3724
"Abu Dhabi, United Arab Emirates",Singapore,3517
"Acajutla, El Salvador","Honshu, Japan",6908
"Acajutla, El Salvador","Panama, Panama",833
"Acajutla, El Salvador","Punta Arenas, Chile",4309
"Acajutla, El Salvador","San Francisco, California, United States",2444
"Acajutla, El Salvador","Torres Strait, Australia",7784
"Acajutla, El Salvador","Tsugaru-Kaikyo, Japan",6750
"Acajutla, El Salvador","Wilson Promontory, Australia",7519
"Acapulco, Mexico","Amapala, Honduras",763
"Acapulco, Mexico","Antofagasta, Chile",2984
"Acapulco, Mexico","Apia, Samoa",4638
"Acapulco, Mexico","Arica, Chile",2768
"Acapulco, Mexico","Callao, Peru",2198
"Acapulco, Mexico","Champerico, Guatemala",494
"Acapulco, Mexico","Coquimbo, Chile",3259
"Acapulco, Mexico","Corinto, Nicaragua",792
"Acapulco, Mexico","Ensenada, Mexico",1369
"Acapulco, Mexico","Esmeraldas, Ecuador",1527
"Acapulco, Mexico","Golfito, Costa Rica",1123
"Acapulco, Mexico","Guayaquil, Ecuador",1708
"Acapulco, Mexico","Guaymas, Mexico",958
"Acapulco, Mexico","Honolulu, Hawaii, United States",3289
"Acapulco, Mexico","Iquique, Chile",2834
"Acapulco, Mexico","La Palma, Panama",1466
"Acapulco, Mexico","Los Angeles, California, United States",1501
"Acapulco, Mexico","Los Angeles, California, United States",1501
"Acapulco, Mexico","Lota, Chile",3573
"Acapulco, Mexico","Manzanillo, Mexico",295
"Acapulco, Mexico","Mazatlan, Mexico",595
"Acapulco, Mexico","Mollendo, Peru",2643
"Acapulco, Mexico","Monterey, California, United States",1753
"Acapulco, Mexico","Pago Pago, American Samoa",4595
"Acapulco, Mexico","Panama, Panama",1426
"Acapulco, Mexico","Papeete, French Polynesia",3595
"Acapulco, Mexico","Papeete, Tahiti, French Polynesia",3595
"Acapulco, Mexico","Pedregal, Panama",1184
"Acapulco, Mexico","Pisco, Peru",2309
"Acapulco, Mexico","Puerto Masachapa, Nicaragua",850
"Acapulco, Mexico","Puerto Sandino, Nicaragua",825
"Acapulco, Mexico","Punta Arenas, Chile",4582
"Acapulco, Mexico","Puntarenas, Costa Rica",1011
"Acapulco, Mexico","Quepos, Costa Rica",1043
"Acapulco, Mexico","Salina Cruz, Mexico",314
"Acapulco, Mexico","San Diego, California, United States",1431
"Acapulco, Mexico","San Francisco, California, United States",1833
"Acapulco, Mexico","San Jose, Guatemala",574
"Acapulco, Mexico","San Lorenzo, Honduras",791
"Acapulco, Mexico","Santa Barbara, California, United States",1568
"Acapulco, Mexico","Santa Rosalia, Mexico",976
"Acapulco, Mexico","Sasebo, Japan",6918
"Acapulco, Mexico","Talara, Peru",1696
"Acapulco, Mexico","Talcahuano, Chile",3558
"Acapulco, Mexico","Valparaiso, Chile",3406
"Accra, Ghana","Apapa, Nigeria",221
"Accra, Ghana","Aracaju, Brazil",2411
"Accra, Ghana","Bordeaux, France",3603
"Accra, Ghana","Cayman Brac, Cayman Islands",4899
"Accra, Ghana","Conakry, Guinea",995
"Accra, Ghana","Escravos, Nigeria",311
"Accra, Ghana","Forcados Offshore Terminal, Nigeria",320
"Accra, Ghana","Freetown, Sierra Leone",955
"Accra, Ghana","Gamba, Gabon",789
"Accra, Ghana","Grand Bassam, Ivory Coast",230
"Accra, Ghana","Kamsar, Guinea",1077
"Accra, Ghana","Kpeme, Togo",159
"Accra, Ghana","Lagos, Nigeria",229
"Accra, Ghana","Lobito, Angola",1356
"Accra, Ghana","Marshall, Liberia",671
"Accra, Ghana","Nouadhibou, Mauritania",1756
"Accra, Ghana","Nouakchott, Mauritania",1605
"Accra, Ghana","Palm Beach, Florida, United States",4937
"Accra, Ghana","Pennington Terminal, Nigeria",356
"Accra, Ghana","Pepel, Sierra Leone",924
"Accra, Ghana","Pointe Noire, Congo",952
"Accra, Ghana","Porto Grande, Cape Verde Islands",1760
"Accra, Ghana","Porto Grande, Sao Vicente, Cape Verde Islands",1760
"Accra, Ghana","Qua Iboe, Nigeria",504
"Accra, Ghana","Saldanha Bay, South Africa",4090
"Accra, Ghana","San Pedro, Ivory Coast",398
"Accra, Ghana","Sassandra, Ivory Coast",362
"Accra, Ghana","Straits Of Florida, United States",5016
"Ad Dammam, Saudi Arabia","Cape Of Good Hope, South Africa",4960
"Ad Damman, Saudi Arabia","Al Basrah, Iraq",304
"Ad Damman, Saudi Arabia","Bombay, India",1373
"Ad Damman, Saudi Arabia","Cape Of Good Hope, South Africa",4960
"Ad Damman, Saudi Arabia","Port Said, Egypt",3142
"Ad Damman, Saudi Arabia",Singapore,3681
"Adelaide, Australia","Esperance, Australia",889
"Adelaide, Australia","Melbourne, Australia",512
"Aden, Yemen","Abadan, Iraq",1937
"Aden, Yemen","Abu Dhabi, United Arab Emirates",1593
"Aden, Yemen","Al Aqabah, Jordan",1251
"Aden, Yemen","Al Basrah, Iraq",1967
"Aden, Yemen","Al Gurdagah, Egypt",1135
"Aden, Yemen","Al Hudaydah, Yemen",230
"Aden, Yemen","Al Mukha, Yemen",137
"Aden, Yemen","Albany, Australia",5127
"Aden, Yemen","As Salif, Yemen",249
"Aden, Yemen","Assab, Ethiopia",150
"Aden, Yemen","Ayn Sukhnah, Egypt",1273
"Aden, Yemen","Bandar Abbas, Iran",1453
"Aden, Yemen","Bandar Al Mishab, Saudi Arabia",1985
"Aden, Yemen","Barrow Island, Australia",4641
"Aden, Yemen","Bassein, Burma",3251
"Aden, Yemen","Beira, Mozambique",2610
"Aden, Yemen","Belawan, Indonesia",3299
"Aden, Yemen","Bhavnagar, India",1707
"Aden, Yemen","Bombay, India",1657
"Aden, Yemen","Bur Safaga, Egypt",1109
"Aden, Yemen","Calcutta, India",3308
"Aden, Yemen","Cape Leeuwin, Australia",4958
"Aden, Yemen","Cape Of Good Hope, South Africa",3954
"Aden, Yemen","Chah Bahar, Iran",1276
"Aden, Yemen","Colombo, Sri Lanka",2094
"Aden, Yemen","Dar Es Salaam, Tanzania",1740
"Aden, Yemen","Das Island, United Arab Emirates",1613
"Aden, Yemen","Diego Garcia, Chagos Archipelago",2090
"Aden, Yemen","Djibouti, Djibouti",133
"Aden, Yemen","Eilat, Israel",1247
"Aden, Yemen","Fateh Terminal, United Arab Emirates",1526
"Aden, Yemen","Fremantle, Australia",4921
"Aden, Yemen","Fujayrah, United Arab Emirates",1377
"Aden, Yemen","Gizan, Saudi Arabia",400
"Aden, Yemen","Hobart, Tasmania",6598
"Aden, Yemen","Jiddah, Saudi Arabia",701
"Aden, Yemen","Karachi, Pakistan",1472
"Aden, Yemen","Kharg Island, Iran",1087
"Aden, Yemen","Kismaayo, Somalia",1326
"Aden, Yemen","Lavan Island, Iran",1578
"Aden, Yemen","Madras, India",2661
"Aden, Yemen","Malacca, Malaysia",3517
"Aden, Yemen","Maputo, Mozambique",2953
"Aden, Yemen","Massawa, Ethiopia",400
"Aden, Yemen","Mina Abd Allah, Kuwait",1894
"Aden, Yemen","Mina Al Ahmadi, Kuwait",1897
"Aden, Yemen","Mina Raysut, Oman",601
"Aden, Yemen","Mina Saqr, United Arab Emirates",1531
"Aden, Yemen","Mina Saud, Kuwait",1873
"Aden, Yemen","Mogadishu, Somalia",1106
"Aden, Yemen","Mombasa, Kenya",1602
"Aden, Yemen","Moulmein, Burma",3354
"Aden, Yemen","Mubarraz Island, United Arab Emirates",1743
"Aden, Yemen","Mutrah, Oman",1254
"Aden, Yemen","Paradip, India",2789
"Aden, Yemen","Penang, Malaysia",3344
"Aden, Yemen","Port Darwin, Australia",5355
"Aden, Yemen","Port Hedland, Australia",4800
"Aden, Yemen","Port Kelang, Malaysia",3430
"Aden, Yemen","Port Louis, Mauritius",2341
"Aden, Yemen","Port Said, Egypt",1400
"Aden, Yemen","Port Sudan, Sudan",658
"Aden, Yemen","Ra’S Al Khafji, Saudi Arabia",1871
"Aden, Yemen","Ra’S As Sidr, Egypt",1282
"Aden, Yemen","Ra’S Gharib, Egypt",1207
"Aden, Yemen","Ra’S Shukhayr, Egypt",1191
"Aden, Yemen","Rabigh, Saudi Arabia",754
"Aden, Yemen","Rangoon, Burma",3318
"Aden, Yemen","Ras Al Kethib, Yemen",220
"Aden, Yemen","Ras Al Khafji, Saudi Arabia",1871
"Aden, Yemen","Ras As Sidr, Egypt",1282
"Aden, Yemen","Ras Gharib, Egypt",1207
"Aden, Yemen","Ras Tannurah, Saudi Arabia",1773
"Aden, Yemen","Sabang, Indonesia",3033
"Aden, Yemen","Selat Sunda, Indonesia",3842
"Aden, Yemen","Sharjah, United Arab Emirates",1494
"Aden, Yemen",Singapore,3631
"Aden, Yemen","Suakin, Sudan",631
"Aden, Yemen","Tanga, Tanzania",1671
"Aden, Yemen","Torres Strait, Australia",6022
"Aden, Yemen","Victoria, Seychelles",1416
"Aden, Yemen","Wadi Feiran, Egypt",1231
"Aden, Yemen","Wellington, New Zealand",7814
"Aden, Yemen","Yanbu Al Bahr, Saudi Arabia",851
"Aden, Yemen","Zanzibar, Tanzania",1722
"Adrossan, Scotland","Inishtrahull, Ireland",95
"Agadir, Morocco","Abidjan, Ivory Coast",2258
"Agadir, Morocco","Cape Of Good Hope, South Africa",4719
"Agadir, Morocco","Casablanca, Morocco",257
"Agadir, Morocco","Dakar, Senegal",1109
"Agadir, Morocco","Escravos, Nigeria",2778
"Agadir, Morocco","Freetown, Sierra Leone",1597
"Agadir, Morocco","Ile D’Ouessant, France",1136
"Agadir, Morocco","Lagos, Nigeria",2699
"Agadir, Morocco","Luanda, Angola",3507
"Agadir, Morocco","Monrovia, Liberia",1761
"Agadir, Morocco","Nouadhibou, Mauritania",751
"Agadir, Morocco","Pointe Noire, Congo",3321
"Agadir, Morocco","Port Harcourt, Nigeria",2944
"Agadir, Morocco","Port Kamsar, Guinea",1422
"Agadir, Morocco","Qua Iboe, Nigeria",2961
"Agadir, Morocco","Tangier, Morocco",414
"Agadir, Morocco","Walvisbaai, Namibia",4075
"Ail Basrah, Iraq","Honawar, India",1826
"Ajaccio, Corsica","Beirut, Lebanon",1437
"Ajaccio, Corsica","Castellon, Spain",419
"Ajaccio, Corsica","Catania, Sicily",464
"Ajaccio, Corsica","Civitavecchia, Italy",180
"Ajaccio, Corsica","Dhekelia, Cyprus",233
"Ajaccio, Corsica","Fiumicino, Italy",187
"Ajaccio, Corsica","Gela, Italy",417
"Ajaccio, Corsica","Genova, Italy",170
"Ajaccio, Corsica","Koper, Slovenia",1033
"Ajaccio, Corsica","Marseille, France",188
"Ajaccio, Corsica","Marseillemarseille, France",188
"Ajaccio, Corsica","Mersa Al Hamra, Egypt",1197
"Ajaccio, Corsica","Nice, France",138
"Ajaccio, Corsica","Port Said, Egypt",1355
"Ajaccio, Corsica","Ravenna, Italy",1005
"Ajaccio, Corsica","St. Louis Du Rhone, France",197
"Ajaccio, Corsica",Strait Of Gibraltar,778
"Ajaccio, Corsica","Toulon, France",155
"Ajaccio, Corsica","Varna, Bulgaria",1360
"Ajaccio, Corsica","Venezia, Italy",1507
"Ajaccio, Corsica","Villefranche, France",138
"Ajaccio, Corsica","Volos, Greece",1014
"Ajaccio, Corsica","Zelinika, Montenegro",764
"Akita, Japan","Aomori, Japan",158
"Akita, Japan","Hakodate, Japan",150
"Akita, Japan","Maizuru, Japan",352
"Akita, Japan","Nevels’K, Russia",450
"Akita, Japan","Shimonoseki, Japan",586
"Akureyri, Iceland","Bergen, Norway",803
"Akureyri, Iceland","Murmansk, Russia",1256
"Akureyri, Iceland","Pentland Firth, Scotland",702
"Akureyri, Iceland","St. John’S, Canada",1616
"Akureyri, Iceland",Strait Of Gibraltar,2102
"Akyab, Burma","Calcutta, India",402
"Akyab, Burma","Colombo, Sri Lanka",1225
"Akyab, Burma","Paradip, India",349
"Akyab, Burma","Penang, Malaysia",1215
"Akyab, Burma","Port Said, Egypt",4672
"Akyab, Burma",Singapore,1365
"Akyab, Sittwe Harbor, Burma","Haldia, India",46
"Akyab, Sittwe Harbor, Burma, Bombay, India","Port Kelang, Malaysia",2238
"Al Aqabah, Jordan","Aden, Yemen",1251
"Al Aqabah, Jordan","Bandar Al Mishab, Saudi Arabia",3242
"Al Aqabah, Jordan","Gizan, Saudi Arabia",988
"Al Aqabah, Jordan","Jiddah, Saudi Arabia",573
"Al Aqabah, Jordan","Massawa, Ethiopia",897
"Al Aqabah, Jordan","Port Said, Egypt",380
"Al Bashrah, Iraq","Mina Raysut, Oman",1460
"Al Basrah, Iraq","Ad Damman, Saudi Arabia",304
"Al Basrah, Iraq","Aden, Yemen",1979
"Al Basrah, Iraq","Al Jubayl, Saudi Arabia",231
"Al Basrah, Iraq","Bandar Abbas, Iran",572
"Al Basrah, Iraq","Bandar Khomeini, Iran",154
"Al Basrah, Iraq","Belawan, Indonesia",3553
"Al Basrah, Iraq","Bombay, India",1594
"Al Basrah, Iraq","Calcutta, India",3593
"Al Basrah, Iraq","Cape Of Good Hope, South Africa",5211
"Al Basrah, Iraq","Chah Bahar, Iran",802
"Al Basrah, Iraq","Colombo, Sri Lanka",2359
"Al Basrah, Iraq","Dumai, Indonesia",3824
"Al Basrah, Iraq","Fremantle, Australia",5440
"Al Basrah, Iraq","Haldia, India",3537
"Al Basrah, Iraq","Karachi, Pakistan",1177
"Al Basrah, Iraq","Malacca, Malaysia",3771
"Al Basrah, Iraq","Massawa, Ethiopia",2372
"Al Basrah, Iraq","Mina Al Ahmadi, Kuwait",140
"Al Basrah, Iraq","Mubarraz Island, United Arab Emirates",474
"Al Basrah, Iraq","Mutrah, Oman",847
"Al Basrah, Iraq","New Mangalore, India",1907
"Al Basrah, Iraq","Penang, Malaysia",3598
"Al Basrah, Iraq","Port Darwin, Australia",5650
"Al Basrah, Iraq","Port Said, Egypt",3371
"Al Basrah, Iraq","Port Walcot, Australia",5133
"Al Basrah, Iraq","Ra’S Tannurah, Saudi Arabia",295
"Al Basrah, Iraq","Rangoon, Burma",3603
"Al Basrah, Iraq","Ras Tannurah, Saudi Arabia",295
"Al Basrah, Iraq","Sabang, Indonesia",3287
"Al Basrah, Iraq","Sharjah, United Arab Emirates",518
"Al Basrah, Iraq",Singapore,3916
"Al Basrah, Iraq","Tuticorin, India",2274
"Al Basrah, Iraq","Umm Said, Qatar",444
"Al Basrah, Iraq","Veraval, India",1417
"Al Gurdagah, Egypt","Aden, Yemen",1135
"Al Gurdagah, Egypt","Cape Of Good Hope, South Africa",5041
"Al Gurdagah, Egypt",Singapore,4754
"Al Hudaydah, Yemen","Aden, Yemen",230
"Al Hudaydah, Yemen","Cape Of Good Hope, South Africa",4137
"Al Jubayl, Saudi Arabia","Al Basrah, Iraq",231
"Al Jubayl, Saudi Arabia","Bandar Abbas, Iran",366
"Al Jubayl, Saudi Arabia","Bombay, India",2353
"Al Jubayl, Saudi Arabia","Cape Leeuwin, Australia",5276
"Al Jubayl, Saudi Arabia","Cape Of Good Hope, South Africa",5109
"Al Jubayl, Saudi Arabia","Colombo, Sri Lanka",2157
"Al Jubayl, Saudi Arabia","Fremantle, Australia",5248
"Al Jubayl, Saudi Arabia","Melaka, Malaysia",3610
"Al Jubayl, Saudi Arabia","Port Darwin, Australia",5422
"Al Jubayl, Saudi Arabia","Port Said, Egypt",3164
"Al Jubayl, Saudi Arabia","Ra’S At Tannurah, Saudi Arabia",34
"Al Jubayl, Saudi Arabia","Rabigh, Saudi Arabia",2679
"Al Jubayl, Saudi Arabia","Ras Al Kethib, Yemen",2145
"Al Jubayl, Saudi Arabia","Selat Lombok, Indonesia",4577
"Al Jubayl, Saudi Arabia","Selat Sunda, Indonesia",3949
"Al Jubayl, Saudi Arabia",Singapore,3723
"Al Jubayl, Saudi Arabia","Torres Strait, Australia",6107
"Al Khums, Libya","Tunis, Tunisia",357
"Al Latakia, Syria","Alexandria, Egypt",402
"Al Latakia, Syria","Iraklion, Kriti",527
"Al Latakia, Syria","Larnaca, Cyprus",114
"Al Latakia, Syria","Mersin, Turkey",94
"Al Latakia, Syria","Napoli, Italy",1191
"Al Latakia, Syria","Port Said, Egypt",310
"Al Latakia, Syria",Strait Of Gibraltar,2029
"Al Latakia, Syria","Trieste, Italy",1337
"Al Latakia, Syria","Tunis, Tunisia",1258
"Al Latakia, Syria","Valencia, Spain",1765
"Al Manamah, Bahrain","Bandar Khomeini, Iran",288
"Al Manamah, Bahrain","Belawan, Indonesia",3316
"Al Manamah, Bahrain","Calcutta, India",3355
"Al Manamah, Bahrain","Cape Of Good Hope, South Africa",4957
"Al Manamah, Bahrain","Cape Of Good Hope, South Africa",4957
"Al Manamah, Bahrain","Fremantle, Australia",5203
"Al Manamah, Bahrain","Malacca, Malaysia",3534
"Al Manamah, Bahrain","Penang, Malaysia",3361
"Al Manamah, Bahrain","Port Darwin, Australia",5390
"Al Manamah, Bahrain","Port Said, Egypt",3132
"Al Manamah, Bahrain","Rangoon, Burma",3329
"Al Manamah, Bahrain","Sabang, Indonesia",3050
"Al Manamah, Bahrain",Singapore,3652
"Al Mukha, Yemen","Aden, Yemen",137
"Al Mukha, Yemen","Cape Of Good Hope, South Africa",4043
"Albany, Australia","Aden, Yemen",5127
"Albany, Australia","Cape Leeuwin, Australia",168
"Albany, Australia","Cape Of Good Hope, South Africa",4740
"Albany, Australia","Durban, South Africa",4270
"Albany, Australia","Esperance, Australia",224
"Albany, Australia","Fremantle, Australia",349
"Albany, Australia","Geraldton, Australia",525
"Albany, Australia","Hobart, Tasmania",1494
"Albany, Australia","Malacca, Malaysia",2602
"Albany, Australia","Melbourne, Australia",1363
"Albany, Australia","Port Adelaide, Australia",1024
"Albany, Australia","Port Darwin, Australia",2152
"Albany, Australia","Port Lincoln, Australia",953
"Albany, Australia","Port Louis, Mauritius",3340
"Albany, Australia","Rapid Bay, Australia",990
"Albany, Australia","Richards Bay, South Africa",5031
"Albany, Australia",Singapore,2525
"Albany, Australia","Wellington, New Zealand",2729
"Albany, Australia","Wilson Promontory, Australia",1378
"Albatross Bay, Australia","Ambon, Indonesia",1036
"Albatross Bay, Australia","Cape Leeuwin, Australia",2677
"Albatross Bay, Australia","Cape Of Good Hope, South Africa",6793
"Albatross Bay, Australia","Darwin, Australia",725
"Albatross Bay, Australia","Ho Chi Minh, Vietnam",2730
"Albatross Bay, Australia",Hong Kong,2727
"Albatross Bay, Australia","Manila, Philippines",2166
"Albatross Bay, Australia","Port Said, Egypt",7406
